iteracion,timestamp,theta,x,y,sigma_theta,sigma_x,sigma_y,lm0_x,lm0_y,lm1_x,lm1_y,z_diff_range,z_diff_bearing
0,1779735448.602741,0.000000,0.000000,0.000000,0.010000,0.010000,0.010000,-0.502744,-0.699013,0.000000,0.000000,0.000000,0.000000
1,1779735448.631199,0.000000,0.000000,0.000000,0.010000,0.010000,0.010000,-0.502744,-0.699013,0.799796,-0.800028,0.000000,0.000000
2,1779735448.655801,0.000000,-0.000000,0.000000,0.010000,0.010000,0.010000,-0.502744,-0.699013,0.799796,-0.800028,-0.000000,-0.000000
3,1779735448.669214,0.000000,-0.000000,0.000000,0.010000,0.010000,0.010000,-0.502744,-0.699013,0.799796,-0.800028,0.000000,0.000000
4,1779735448.713289,-0.001088,-0.001439,0.000163,0.017701,0.016819,0.016746,-0.501571,-0.698985,0.799796,-0.800028,-0.002124,0.004730
5,1779735448.731727,-0.000686,-0.001069,0.000347,0.015870,0.015731,0.015012,-0.501245,-0.698994,0.798900,-0.800274,-0.001052,-0.002175
6,1779735448.768489,-0.001044,-0.000725,0.000251,0.014084,0.013833,0.014013,-0.501198,-0.698952,0.798929,-0.800465,-0.000052,0.001642
7,1779735448.793942,-0.001078,-0.000512,0.000061,0.013347,0.013101,0.013246,-0.501104,-0.699038,0.799021,-0.800574,0.001860,0.000199
8,1779735448.887295,-0.000906,-0.000118,0.000283,0.019978,0.018363,0.018278,-0.501219,-0.699135,0.799060,-0.800545,0.000906,-0.000582
9,1779735448.906047,-0.001143,0.000368,-0.000116,0.017256,0.016925,0.015890,-0.501098,-0.699242,0.798721,-0.800308,-0.001931,0.000015
10,1779735448.938004,-0.000565,-0.000147,0.000105,0.014860,0.014467,0.014723,-0.501138,-0.699268,0.798704,-0.800047,-0.000279,-0.002170
11,1779735448.962666,-0.000383,-0.000311,-0.000017,0.014030,0.013672,0.013879,-0.501151,-0.699348,0.798698,-0.800038,-0.000141,-0.000986
12,1779735449.071685,-0.000832,-0.000383,0.000781,0.020384,0.018529,0.018426,-0.501182,-0.699490,0.798674,-0.800011,0.001250,0.001505
13,1779735449.091988,-0.000526,-0.000220,0.000975,0.017405,0.017027,0.015926,-0.501069,-0.699478,0.798522,-0.800058,-0.000268,-0.001135
14,1779735449.116203,-0.000250,-0.000504,0.000972,0.014950,0.014519,0.014792,-0.501095,-0.699519,0.798505,-0.799994,0.000295,-0.000933
15,1779735449.198349,0.000015,-0.000552,0.000562,0.014160,0.013766,0.013988,-0.501054,-0.699679,0.798553,-0.800052,0.001424,-0.001433
16,1779735449.293972,-0.000239,-0.001307,-0.000029,0.020433,0.018501,0.018367,-0.500959,-0.699572,0.798501,-0.800098,-0.001824,0.000786
17,1779735449.309365,-0.000348,-0.001584,-0.000023,0.017373,0.016984,0.015865,-0.501043,-0.699558,0.798643,-0.800113,0.000787,0.000731
18,1779735449.323398,-0.000696,-0.001143,0.000212,0.014925,0.014501,0.014774,-0.500996,-0.699461,0.798681,-0.800123,-0.001270,0.001021
19,1779735449.338567,-0.000385,-0.001190,-0.000280,0.014169,0.013782,0.014007,-0.500956,-0.699615,0.798729,-0.800181,0.001740,-0.001676
20,1779735449.415639,-0.000019,-0.000443,0.000074,0.020428,0.018455,0.018300,-0.501024,-0.699675,0.798773,-0.800150,0.001406,-0.001150
21,1779735449.432390,-0.000671,-0.000485,-0.000439,0.017338,0.016937,0.015810,-0.501127,-0.699713,0.798873,-0.800062,-0.000347,0.001922
22,1779735449.451681,-0.000897,-0.000118,-0.000058,0.014913,0.014477,0.014751,-0.501085,-0.699614,0.798910,-0.800022,-0.001708,0.000517
23,1779735449.467810,-0.000440,-0.000470,-0.000433,0.014175,0.013784,0.014011,-0.501090,-0.699735,0.798914,-0.800022,0.000138,-0.002405
24,1779735449.627913,-0.001048,-0.000815,0.000287,0.020410,0.018423,0.018252,-0.501087,-0.699789,0.798888,-0.800016,0.000753,0.001967
25,1779735449.650007,-0.000831,-0.000790,0.000453,0.017287,0.016902,0.015771,-0.501056,-0.699779,0.798856,-0.800039,0.000077,-0.000651
26,1779735449.671800,-0.001159,-0.000425,0.000540,0.014897,0.014460,0.014734,-0.501033,-0.699737,0.798873,-0.800069,-0.000656,0.001032
27,1779735449.698551,-0.000916,-0.000373,0.000050,0.014180,0.013784,0.014011,-0.500996,-0.699841,0.798915,-0.800119,0.002102,-0.001314
28,1779735449.836403,-0.001842,-0.001274,0.000598,0.020399,0.018401,0.018215,-0.500959,-0.699862,0.798867,-0.800129,-0.000138,0.002961
29,1779735449.854849,-0.001514,-0.000861,0.000729,0.017257,0.016877,0.015743,-0.500862,-0.699867,0.798722,-0.800133,-0.001034,-0.001562
30,1779735449.886748,-0.001136,-0.001225,0.000790,0.014882,0.014448,0.014721,-0.500876,-0.699886,0.798714,-0.800078,0.000123,-0.001290
31,1779735449.907446,-0.001038,-0.001330,0.000745,0.014180,0.013784,0.014011,-0.500881,-0.699900,0.798710,-0.800073,-0.000221,-0.000513
32,1779735450.065322,-0.000805,-0.001470,0.000070,0.020391,0.018385,0.018185,-0.500862,-0.699852,0.798709,-0.800087,-0.001206,-0.000771
33,1779735450.089311,-0.000662,-0.001264,0.000120,0.017247,0.016857,0.015721,-0.500821,-0.699855,0.798646,-0.800087,-0.000529,-0.000723
34,1779735450.105222,-0.000961,-0.000992,0.000033,0.014871,0.014440,0.014712,-0.500814,-0.699847,0.798649,-0.800131,0.000059,0.001039
35,1779735450.119689,-0.001368,-0.000481,0.000129,0.014173,0.013785,0.014012,-0.500786,-0.699806,0.798671,-0.800164,0.001533,0.002114
36,1779735450.216184,-0.001087,-0.000805,-0.000907,0.020380,0.018368,0.018164,-0.500754,-0.699740,0.798667,-0.800183,-0.001962,-0.000934
37,1779735450.230490,-0.000393,-0.001074,-0.000276,0.017230,0.016840,0.015702,-0.500726,-0.699705,0.798669,-0.800253,0.001262,-0.001543
38,1779735450.245149,-0.000682,-0.000849,-0.000469,0.014864,0.014433,0.014704,-0.500725,-0.699711,0.798667,-0.800304,0.000481,0.001071
39,1779735450.267392,-0.000729,-0.000992,-0.000213,0.014174,0.013785,0.014012,-0.500745,-0.699678,0.798647,-0.800277,-0.001532,0.000274
40,1779735450.530293,-0.000629,-0.001501,-0.001158,0.020383,0.018354,0.018144,-0.500711,-0.699620,0.798636,-0.800297,-0.002015,-0.000362
41,1779735450.544565,-0.000034,-0.001812,-0.000595,0.017215,0.016825,0.015688,-0.500698,-0.699591,0.798654,-0.800354,0.001316,-0.001192
42,1779735450.557543,0.000073,-0.001849,-0.000394,0.014856,0.014427,0.014697,-0.500693,-0.699575,0.798660,-0.800322,-0.000679,-0.000476
