iteracion,timestamp,t_prediccion_us,t_update_us,t_callback_total_us,n_landmarks_visibles
4,1779738711.724,219710.634,377435.112,628745.380,4
8,1779738711.900,74078.536,99012.739,173771.291,4
12,1779738712.120,34829.493,181802.804,218525.334,4
16,1779738712.359,145189.405,92913.735,238826.666,4
20,1779738712.507,36914.062,106697.290,147181.933,4
24,1779738712.592,25695.411,56163.065,83631.032,4
28,1779738712.808,135872.181,79426.593,215977.871,4
32,1779738712.924,50108.300,64247.939,115012.674,4
36,1779738713.135,50061.260,130918.066,181667.172,4
40,1779738713.292,41044.828,103863.065,145618.029,4
44,1779738713.495,62165.419,92988.866,155827.041,4
48,1779738713.811,174962.653,100114.459,275758.169,4
52,1779738713.927,31130.260,83126.977,114918.823,4
56,1779738714.112,40462.034,125553.988,166974.210,4
60,1779738714.219,23332.699,50760.285,75132.485,4
64,1779738714.535,43327.419,140539.443,185033.473,4
68,1779738714.707,43508.791,92882.474,139140.031,4
72,1779738714.931,44668.412,132970.706,178369.903,4
76,1779738715.139,58833.459,106351.864,165855.660,4
80,1779738715.354,32611.604,169515.232,202775.683,4
84,1779738715.532,56218.305,106473.737,163384.129,4
88,1779738715.716,49144.552,107998.852,157815.349,4
92,1779738715.928,77443.726,98199.003,176327.795,4
96,1779738716.318,98038.081,249955.177,348659.825,4
100,1779738716.823,282675.051,221092.037,504446.415,4
104,1779738717.326,256245.294,245294.736,502208.675,4
108,1779738717.562,66765.691,164610.820,232058.756,4
112,1779738717.749,61256.241,115137.646,177069.402,4
116,1779738717.935,56083.244,105345.317,162098.547,4
120,1779738718.627,188352.704,295233.186,484262.115,4
124,1779738719.036,123597.831,281909.455,408297.922,4
128,1779738719.292,181547.592,72968.957,255189.015,4
132,1779738719.448,26394.468,127719.429,155369.387,4
136,1779738719.529,23730.573,53032.546,77818.950,4
140,1779738719.634,29283.353,61127.941,91075.589,4
144,1779738719.834,31354.182,56199.714,88220.633,4
148,1779738720.046,37219.045,70874.718,108754.598,4
152,1779738720.241,39423.645,52318.961,92548.072,4
156,1779738720.412,23854.375,51648.766,76603.279,4
160,1779738720.636,29738.957,63006.967,93417.910,4
164,1779738720.850,28903.760,85027.015,114599.431,4
168,1779738720.935,29784.848,53965.914,84399.019,4
172,1779738721.037,27095.734,63582.600,91409.272,4
176,1779738721.242,28541.506,69453.694,98712.278,4
180,1779738721.422,26981.772,53167.467,80918.238,4
184,1779738721.626,26838.772,61329.021,89008.820,4
188,1779738721.839,37431.997,61854.365,100017.199,4
192,1779738722.036,36288.707,62056.239,99016.230,4
196,1779738722.188,25658.650,53077.517,80154.701,4
200,1779738722.273,25413.528,57407.455,83493.601,4
204,1779738722.422,31517.003,54294.687,86484.998,4
208,1779738722.629,33154.658,58765.367,94256.598,4
212,1779738722.826,32151.079,57491.787,90291.682,4
216,1779738723.029,30997.429,58858.578,91247.800,4
220,1779738723.229,33524.922,58889.700,93093.917,4
224,1779738723.434,34019.466,64232.518,98905.090,4
228,1779738723.535,32516.852,67452.276,100601.045,4
232,1779738723.629,27754.369,56290.616,84708.142,4
236,1779738723.831,34987.894,59645.728,95656.911,4
240,1779738724.028,28946.550,57857.599,90749.706,4
244,1779738724.246,36320.237,65882.994,110653.875,4
248,1779738724.434,28151.644,63227.069,92402.741,4
252,1779738724.629,24785.383,59148.303,84764.803,4
256,1779738724.835,32851.125,67247.104,100743.936,4
260,1779738724.923,30112.471,56076.144,86855.391,4
264,1779738725.039,40162.261,60983.788,101836.507,4
268,1779738725.234,30777.917,65501.880,96947.422,4
272,1779738725.433,30938.809,59420.915,91148.540,4
276,1779738725.625,25563.640,52339.761,78827.490,4
280,1779738725.842,31408.473,62928.526,95003.544,4
284,1779738726.043,29994.840,75249.717,105910.062,4
288,1779738726.158,35015.415,62672.822,98341.805,4
292,1779738726.248,37413.127,50340.273,88392.375,4
296,1779738726.424,29986.420,57777.580,88645.287,4
300,1779738726.639,25676.171,67084.302,93418.770,4
304,1779738726.832,29783.128,63777.134,94567.931,4
308,1779738727.041,33571.952,71303.623,105538.370,4
312,1779738727.238,29958.600,61981.677,92625.603,4
316,1779738727.420,28133.113,55180.026,84871.524,4
320,1779738727.504,25877.592,56529.239,83119.318,4
324,1779738727.633,29722.897,64543.791,94928.585,4
328,1779738727.822,31279.062,54522.920,86499.819,4
332,1779738728.043,36711.320,67351.385,104720.272,4
336,1779738728.221,25821.762,58652.869,85147.836,4
340,1779738728.425,31808.116,56773.580,89452.555,4
344,1779738728.628,26405.377,54921.355,82023.078,4
348,1779738728.788,26132.445,61810.825,88772.819,4
352,1779738728.887,29230.113,68654.029,98548.277,4
356,1779738729.030,29392.394,62987.687,94126.837,4
